OBJECTID,incident_description,incident_export_date,incident_address,incident_good_source,incident_good_publication,Type,long,lat
44,A doctorate student was sprayed with a water gun as they drove by.,5/15/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin-American Statesman,Physical Harassment,-97.74299,30.26759
45,A man was harassed by a group of men who used anti-Chinese and homophobic slurs while he was riding a bicycle through a neighborhood.,7/18/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin American Statesman,Verbal Harassment,-97.74299,30.26759
46,A man was harassed by a group of men who used anti-Chinese and homophobic slurs while he was riding a bicycle through a neighborhood.,7/18/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin American Statesman,Verbal Harassment,-97.74299,30.26759
47,An individual was told to go back to their country by a person who used a racial epithet to describe the coronavirus.,5/7/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin American Statesman,Verbal Harassment,-97.74299,30.26759
48,An individual was told to go back to their country by a person who used a racial epithet to describe the coronavirus.,5/7/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin American Statesman,Verbal Harassment,-97.74299,30.26759
49,An Asian food supply company had three of its trucks vandalized.,7/15/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2021/03/17/asian-americans-face-harassment-hate-amid-covid-19-austin/4738049001/,Austin American Statesman,Vandalism/Graffiti,-97.74299,30.26759
50,"A parent who spoke during public comment said that ""the Chinese plague is successfully treatable."" The parent was immediately booed by the audience, to which they responded, ""Chinese is not a race.""",6/15/2020,"Southlake, TX, USA",https://www.star-telegram.com/news/local/community/northeast-tarrant/article243614432.html,Fort Worth Star-Telegram,Stigmatizing Statement,-97.13121,32.94256
51,"Assistant attorney general, Nick Moutos (TX), tweeted, ""Speaking out against the #ChinaVirus #Plandemic & #Democrats using it to steal #Election2020 makes people angry. Stories slamming me & others in #Salon #MensHealth #AlterNet were enough to cost me my job."" ""Plandemic"" refers to the conspiracy theory that the coronavirus was planned by the Chinese government and engineered in a lab in Wuhan, China.",9/3/2020,"TX, USA",https://www.caller.com/story/news/2020/09/04/assistant-texas-attorney-general-loses-job-after-racist-tweets/5716961002/,Caller Times,Stigmatizing Statement,-99.33305009,31.46273305
52,"The president of the Comal Independent School District Trustees wrote a letter that included the term ""Chinese virus."" ",8/17/2020,"New Braunfels, TX, USA",https://www.kens5.com/article/news/health/coronavirus/comal-isd-school-board-president-draws-criticism-for-writing-china-virus/273-af9a8d93-0b77-49b4-b256-7ffee09bf4a8,Kens 5,Stigmatizing Statement,-98.12151,29.69925
53,A man was at a gas station when another man began to question him and ask why he had brought the virus into the U.S. He also asked him to leave the U.S.,7/15/2020,"Austin, TX, USA",https://baylorlariat.com/2020/09/15/the-challenges-i-faced-as-an-international-student-during-the-covid-19-pandemic/,Baylor Lariat,Verbal Harassment,-97.74299,30.26759
55,"Asian high school students in Missouri City, TX were mocked, including comments such as, ""Do you feel bad for bringing [the coronavirus] to the states?"" and, ""Don't get too close! You'll give me the virus!""",10/4/2020,"Missouri City, TX, USA",https://www.houstonchronicle.com/news/houston-texas/crime/article/New-generation-seeks-police-school-reforms-in-15617716.php,Houston Chronicle,Avoidance,-95.52698,29.60761
56,"An Austine Police Department officer texted: ""we're definitely getting corona. And it'll be that bastard,"" referencing an Asian man.",3/15/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2020/11/26/austin-police-officer-fired-over-racist-text-message-thread-memo-says/115050510/,Austin-American Statesman,Stigmatizing Statement,-97.74299,30.26759
57,"An Austin police officer suggested, over text, that an Asian man (who he believed was experiencing homelessness) would infect them with the coronavirus. One of the other officers in the message thread used a racial slur to refer to people of Asian descent.",3/20/2020,"Austin, TX, USA",https://www.statesman.com/story/news/2020/11/26/austin-police-officer-fired-over-racist-text-message-thread-memo-says/115050510/,Austin-American Statesman,Stigmatizing Statement,-97.74299,30.26759
